_id,name
61a89360eee4ab8687c752fe,Target
61a89360eee4ab8687c75388,The AES Corporation
61a89360eee4ab8687c75461,The Blackstone Group L.P.
61a89360eee4ab8687c7538c,"The Gap, Inc."
61a89360eee4ab8687c753f0,The Sherwin-Williams Company
61a89360eee4ab8687c75384,The Southern Company
61a89360eee4ab8687c75340,Time Warner Inc.
61a89360eee4ab8687c753a9,"Waste Management, Inc."
61a89360eee4ab8687c75300,WellPoint
61a89360eee4ab8687c753ee,"Air Products & Chemicals, Inc."
61a89360eee4ab8687c7544f,American Family Ins. Group
61a89360eee4ab8687c75364,"Arrow Electronics, Inc"
61a89360eee4ab8687c7542a,"Becton, Dickinson and Company"
61a89360eee4ab8687c75495,Booz Allen Hamilton Holding Corp.
61a89360eee4ab8687c75422,Broadcom Corporation
61a89360eee4ab8687c753e3,CDW Corporation
61a89360eee4ab8687c753f8,Cameron International Corporation
61a89360eee4ab8687c75356,Capital One Financial Corporation
61a89360eee4ab8687c7530b,Caterpillar
61a89360eee4ab8687c754c3,"Coach, Inc."
61a89360eee4ab8687c753a6,DISH Network Corporation
61a89360eee4ab8687c7545b,Dana Holding Corporation
61a89360eee4ab8687c753e8,Devon Energy Corporation
61a89360eee4ab8687c75355,Duke Energy Corporation
61a89360eee4ab8687c753cc,Entergy Corporation
61a89360eee4ab8687c752e1,General Motors
61a89360eee4ab8687c753c9,H.J. Heinz Company
61a89360eee4ab8687c753fe,"Henry Schein, Inc."
61a89360eee4ab8687c75327,Honeywell International Inc.
61a89360eee4ab8687c7531c,INTL FCStone Inc.
61a89360eee4ab8687c753c5,"J.C. Penney Company, Inc."
61a89360eee4ab8687c7543e,Jarden Corporation
61a89360eee4ab8687c75442,"KBR, Inc."
61a89360eee4ab8687c752f2,Kroger
61a89360eee4ab8687c75326,Liberty Mutual Holding Company Inc.
61a89360eee4ab8687c754b8,MRC Global Inc.
61a89360eee4ab8687c75345,"Macy’s, Inc."
61a89360eee4ab8687c7531b,"Merck & Co., Inc."
61a89360eee4ab8687c7535d,"National Oilwell Varco, Inc."
61a89360eee4ab8687c75354,Northrop Grumman Corporation
61a89360eee4ab8687c75479,"Omnicare, Inc."
61a89360eee4ab8687c754b5,Owens Corning
61a89360eee4ab8687c75424,PVH Corp.
61a89360eee4ab8687c753f6,Public Service Enterprise Group Incorporated
61a89360eee4ab8687c753ec,"Reinsurance Group of America, Incorporated"
61a89360eee4ab8687c75414,"SunTrust Banks, Inc."
61a89360eee4ab8687c754a5,The Charles Schwab Corporation
61a89360eee4ab8687c75324,"The Goldman Sachs Group, Inc."
61a89360eee4ab8687c75456,"The Williams Companies, Inc."
61a89360eee4ab8687c75429,Thrivent Financial for Lutherans
61a89360eee4ab8687c75366,U.S. Bancorp
61a89360eee4ab8687c75321,World Fuel Services Corporation
61a89360eee4ab8687c75472,"Allergan, Inc."
61a89360eee4ab8687c75313,Aetna Inc.
61a89360eee4ab8687c7538d,Apache Corporation
61a89360eee4ab8687c75468,Avery Dennison Corporation
61a89360eee4ab8687c7541b,Ball Corporation
61a89360eee4ab8687c75457,"Barnes & Noble, Inc."
61a89360eee4ab8687c75418,Caesars Entertainment Corporation
61a89360eee4ab8687c75436,"Coca-Cola Enterprises, Inc."
61a89360eee4ab8687c7540e,Cognizant Technology Solutions Corporation
61a89360eee4ab8687c754aa,Con-way Inc.
61a89360eee4ab8687c75434,"Core-Mark Holding Company, Inc."
61a89360eee4ab8687c753e9,"Family Dollar Stores, Inc."
61a89360eee4ab8687c7531a,FedEx Corporation
61a89360eee4ab8687c753a7,Genuine Parts Company
61a89360eee4ab8687c7549b,"Graybar Electric Company, Inc."
61a89360eee4ab8687c7540d,"Group 1 Automotive, Inc."
61a89360eee4ab8687c75341,Halliburton Company
61a89360eee4ab8687c754a2,Harbinger Group Inc.
61a89360eee4ab8687c754ac,JetBlue Airways Corporation
61a89360eee4ab8687c752f3,Marathon Petroleum
61a89360eee4ab8687c75399,"NextEra Energy, Inc."
61a89360eee4ab8687c75480,SanDisk Corporation
61a89360eee4ab8687c75331,Sears Holdings Corporation
61a89360eee4ab8687c753de,Synnex Corporation
61a89360eee4ab8687c75459,The Priceline Group Inc.
61a89360eee4ab8687c753b9,"Toys “R” Us, Inc."
61a89360eee4ab8687c75361,Union Pacific Corporation
61a89360eee4ab8687c75367,United Services Automobile Association
61a89360eee4ab8687c75307,United Technologies
61a89360eee4ab8687c753cb,V.F. Corporation
61a89360eee4ab8687c75439,Visteon Corporation
61a89360eee4ab8687c754c8,Wyndham Worldwide Corporation
61a89360eee4ab8687c7533f,3M Company
61a89360eee4ab8687c753eb,Ally Financial Inc.
61a89360eee4ab8687c75394,"American Electric Power Company, Inc."
61a89360eee4ab8687c75438,"Applied Materials, Inc."
61a89360eee4ab8687c753f4,"Avon Products, Inc."
61a89360eee4ab8687c7543a,BorgWarner Inc.
61a89360eee4ab8687c7533b,CIGNA Corporation
61a89360eee4ab8687c7548c,CONSOL Energy Inc.
61a89360eee4ab8687c7547a,Erie Insurance Group
61a89360eee4ab8687c75417,"HD Supply Holdings, Inc."
61a89360eee4ab8687c753fb,Hilton Worldwide Holdings Inc.
61a89360eee4ab8687c753f9,MGM Resorts International
61a89360eee4ab8687c7546d,"Mattel, Inc."
61a89360eee4ab8687c754be,"McGraw Hill Financial, Inc."
61a89360eee4ab8687c75389,Murphy USA Inc.
61a89360eee4ab8687c7533e,Philip Morris International Inc.
61a89360eee4ab8687c75342,"Publix Super Markets, Inc."
61a89360eee4ab8687c75352,Qualcomm Incorporated
61a89360eee4ab8687c75338,Supervalu Inc.
61a89360eee4ab8687c7548d,The J.M. Smucker Company
61a89360eee4ab8687c75377,The Progressive Corporation
61a89360eee4ab8687c75360,Time Warner Cable Inc.
61a89360eee4ab8687c75380,United States Steel Corporation
61a89360eee4ab8687c753db,Xcel Energy Inc.
61a89360eee4ab8687c754a1,AK Steel Holding Corporation
61a89360eee4ab8687c75455,Ameren Corporation
61a89360eee4ab8687c75410,"Autoliv, Inc."
61a89360eee4ab8687c753cd,"Automatic Data Processing, Inc."
61a89360eee4ab8687c75316,"Best Buy Co., Inc."
61a89360eee4ab8687c752f8,Boeing
61a89360eee4ab8687c753c1,CSX Corporation
61a89360eee4ab8687c754ad,"Calumet Specialty Products Partners, L.P."
61a89360eee4ab8687c752e7,Fannie Mae
61a89360eee4ab8687c754cd,First American Financial Corporation
61a89360eee4ab8687c7536c,Global Partners LP
61a89360eee4ab8687c753cf,Guardian Life Ins. Co. of America
61a89360eee4ab8687c753d8,"Health Net, Inc."
61a89360eee4ab8687c75411,Hormel Foods Corporation
61a89360eee4ab8687c75458,"Huntington Ingalls Industries, Inc."
61a89360eee4ab8687c754a0,"J.B. Hunt Transport Services, Inc."
61a89360eee4ab8687c75375,"Jabil Circuit, Inc."
61a89360eee4ab8687c75462,Mutual of Omaha Insurance Company
61a89360eee4ab8687c75335,Nationwide Mutual Insurance Co.
61a89360eee4ab8687c753ba,"Nordstrom, Inc."
61a89360eee4ab8687c753d2,"Office Depot, Inc."
61a89360eee4ab8687c7536e,PBF Energy Inc.
61a89360eee4ab8687c7541c,Precision Castparts Corp.
61a89360eee4ab8687c75446,Quest Diagnostics Incorporated
61a89360eee4ab8687c753ff,Rock-Tenn Company
61a89360eee4ab8687c75474,"Rockwell Automation, Inc."
61a89360eee4ab8687c753ef,"Ross Stores, Inc."
61a89360eee4ab8687c7539e,Starbucks Corporation
61a89360eee4ab8687c7543d,"Steel Dynamics, Inc."
61a89360eee4ab8687c753bf,Tenet Healthcare Corporation
61a89360eee4ab8687c753b1,Thermo Fisher Scientific Inc.
61a89360eee4ab8687c7545e,"Vanguard Health Systems, Inc."
61a89360eee4ab8687c754cb,Alleghany Corporation
61a89360eee4ab8687c75302,American International Group
61a89360eee4ab8687c752df,Apple
61a89360eee4ab8687c75432,Ashland Inc.
61a89360eee4ab8687c754a9,"CF Industries Holdings, Inc."
61a89360eee4ab8687c752e6,CVS Caremark
61a89360eee4ab8687c75467,Cablevision Systems Corporation
61a89360eee4ab8687c7545f,"Casey’s General Stores, Inc."
61a89360eee4ab8687c75427,"CenterPoint Energy, Inc."
61a89360eee4ab8687c75393,Computer Sciences Corporation
61a89360eee4ab8687c75431,Corning Incorporated
61a89360eee4ab8687c752ed,Costco Wholesale
61a89360eee4ab8687c7536f,Danaher Corporation
61a89360eee4ab8687c754af,Domtar Corporation
61a89360eee4ab8687c75490,Energy Future Holdings Corp.
61a89360eee4ab8687c7532e,Hess Corporation
61a89360eee4ab8687c752ec,J.P. Morgan Chase & Co.
61a89360eee4ab8687c753a0,Kellogg Company
61a89360eee4ab8687c754ae,"Kelly Services, Inc."
61a89360eee4ab8687c754c4,LKQ Corporation
61a89360eee4ab8687c753c2,Lincoln National Corporation
61a89360eee4ab8687c754c5,"Noble Energy, Inc."
61a89360eee4ab8687c75383,PACCAR Inc
61a89360eee4ab8687c75305,PepsiCo
61a89360eee4ab8687c7534b,"The Hartford Financial Services Group, Inc."
61a89360eee4ab8687c753f5,The Mosaic Company
61a89360eee4ab8687c75386,"The PNC Financial Services Group, Inc."
61a89360eee4ab8687c753da,URS Corporation
61a89360eee4ab8687c752ea,Verizon Communications
61a89360eee4ab8687c7537b,"Altria Group, Inc."
61a89360eee4ab8687c753ab,Aramark Holdings Corporation
61a89360eee4ab8687c7537c,"AutoNation, Inc."
61a89360eee4ab8687c754c6,"Bemis Company, Inc."
61a89360eee4ab8687c75449,Boston Scientific Corporation
61a89360eee4ab8687c75415,Campbell Soup Company
61a89360eee4ab8687c75419,"Darden Restaurants, Inc."
61a89360eee4ab8687c753f7,Dean Foods Company
61a89360eee4ab8687c7547f,"Dick’s Sporting Goods, Inc."
61a89360eee4ab8687c75443,Fifth Third Bancorp
61a89360eee4ab8687c75347,Fluor Corporation
61a89360eee4ab8687c75368,Freeport-McMoRan Copper & Gold Inc.
61a89360eee4ab8687c754bd,"Insight Enterprises, Inc."
61a89360eee4ab8687c7538b,Lear Corporation
61a89360eee4ab8687c753d6,Leucadia National Corporation
61a89360eee4ab8687c7536a,ManpowerGroup Inc.
61a89360eee4ab8687c75420,MasterCard Incorporated
61a89360eee4ab8687c75408,"Micron Technology, Inc."
61a89360eee4ab8687c7543f,"Mohawk Industries, Inc."
61a89360eee4ab8687c7532d,Morgan Stanley
61a89360eee4ab8687c75453,Mylan Inc.
61a89360eee4ab8687c7534d,"Nike, Inc."
61a89360eee4ab8687c7534e,Occidental Petroleum Corporation
61a89360eee4ab8687c75409,"Owens & Minor, Inc."
61a89360eee4ab8687c7544e,"Owens-Illinois, Inc."
61a89360eee4ab8687c753c6,"Peter Kiewit Sons’, Inc."
61a89360eee4ab8687c7530d,Pfizer
61a89360eee4ab8687c75358,Raytheon Company
61a89360eee4ab8687c75349,Tech Data Corporation
61a89360eee4ab8687c7542c,Tenneco Inc.
61a89360eee4ab8687c7549d,The Clorox Company
61a89360eee4ab8687c7544b,"The Interpublic Group of Companies, Inc."
61a89360eee4ab8687c75337,"Tyson Foods, Inc."
61a89360eee4ab8687c7541e,"Universal Health Services, Inc."
61a89360eee4ab8687c753f3,"Western Refining, Inc."
61a89360eee4ab8687c7538e,eBay Inc.
61a89360eee4ab8687c7545a,"Agilent Technologies, Inc."
61a89360eee4ab8687c754cc,"Airgas, Inc."
61a89360eee4ab8687c75486,Auto-Owners Insurance Group
61a89360eee4ab8687c753e4,"CST Brands, Inc."
61a89360eee4ab8687c753ca,"CarMax, Inc."
61a89360eee4ab8687c752f0,Cardinal Health
61a89360eee4ab8687c75311,"Cisco Systems, Inc."
61a89360eee4ab8687c7544c,Commercial Metals Company
61a89360eee4ab8687c75392,"ConAgra Foods, Inc."
61a89360eee4ab8687c7547c,"D.R. Horton, Inc."
61a89360eee4ab8687c7545c,"Dillard’s, Inc."
61a89360eee4ab8687c75407,Dover Corporation
61a89360eee4ab8687c75403,Eastman Chemical Company
61a89360eee4ab8687c75351,Exelon Corporation
61a89360eee4ab8687c75483,"Expeditors International of Washington, Inc."
61a89360eee4ab8687c75416,"Fidelity National Financial, Inc."
61a89360eee4ab8687c7548b,"Harley-Davidson, Inc."
61a89360eee4ab8687c754b1,Harris Corporation
61a89360eee4ab8687c75323,Humana Inc.
61a89360eee4ab8687c75343,International Paper Company
61a89360eee4ab8687c75301,Johnson & Johnson
61a89360eee4ab8687c75365,Kimberly-Clark Corporation
61a89360eee4ab8687c752e9,McKesson
61a89360eee4ab8687c752fc,Microsoft
61a89360eee4ab8687c75463,"Molina Healthcare, Inc."
61a89360eee4ab8687c753ce,"NRG Energy, Inc."
61a89360eee4ab8687c753c3,"Praxair, Inc."
61a89360eee4ab8687c752f9,Procter & Gamble
